,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulated
SKAP1,234.180680122557,-1.08749603389831,0.304328419658584,-3.57342911029582,0.000352336661069039,0.0416669008438794,down
SLAMF6,293.456469718623,-1.8230685369188,0.50087945291635,-3.63973512250115,0.000272918636209375,0.0358497845213988,down
SLC12A3,19.8760372746272,-3.03978140583788,0.752033200368614,-4.04208405207099,5.29782343715688e-05,0.0170053825400073,down
SLC5A5,75.4783132405148,-4.50149628539886,1.11017373045245,-4.05476743136795,5.01842071467328e-05,0.016302611774667,down
SNTN,241.771780385723,-4.02937167077159,0.986448462499533,-4.08472598817954,4.41288602101431e-05,0.0149141900123082,down
SOCS2.AS1,105.826224972436,-1.64495330345443,0.461672938997387,-3.56302733928214,0.000366602482492947,0.0419230598734407,down
SPATS1,22.6471346913484,-4.38643397273532,1.06444194078819,-4.12087668162274,3.77433422523519e-05,0.0133904439098706,down
SRGAP3.AS2,129.182258919556,-5.76261522370954,1.26913589650477,-4.54058169781497,5.6099235243853e-06,0.00459654345054581,down
STC2,1519.17122080217,-2.44269327649056,0.696930274719906,-3.50493207871084,0.000456723786598992,0.0467522679749559,down
STOML3,78.0782188259758,-4.4770433051594,1.11210855456058,-4.02572508483973,5.68000185773619e-05,0.0170166544544601,down
TCTE1,44.9093817205645,-3.23274380438074,0.924292954601869,-3.49753158702071,0.000469585100547143,0.0469525790180968,down
TEX26,11.7543815892027,-4.08527718132216,0.975002500506966,-4.1900171324668,2.78933393212348e-05,0.0116147018970231,down
TF,289.416992928708,-2.94958141740911,0.754074308775999,-3.91152620249962,9.17147035474057e-05,0.0231112481471841,down
TMEM190,194.045375393382,-4.69698893746325,0.997973926046849,-4.70652470457705,2.51975462151563e-06,0.00283083932749691,down
TMIGD2,28.5315492593139,-2.35371166400924,0.50539320765381,-4.65718895379677,3.20556211894797e-06,0.0032929521105999,down
TNFRSF17,76.1625354577349,-2.79117113706342,0.78086792602421,-3.57444715558324,0.000350968685514563,0.0416669008438794,down
TOGARAM2,194.036924275592,-2.7965140884516,0.671948723260516,-4.161796862835,3.1575317594494e-05,0.0120985435281177,down
TRGV5P,2.5262849115226,-3.84138606882855,0.997127422432676,-3.85245253756714,0.000116940648382661,0.0248321241215599,down
TRGV9,9.18505858187846,-2.5394756209352,0.635158665017681,-3.99817519747527,6.3832697773793e-05,0.018171123454806,down
TROAP.AS1,35.4031810049117,-4.10831720330808,1.12395763580022,-3.65522424729388,0.000256957272341154,0.0349916107784572,down
TSPAN19,123.678696976855,-4.50832592049728,1.16300735235908,-3.87643802195441,0.000105996793790922,0.0244272782135438,down
TTC16,114.461873630167,-2.29509696060784,0.644386959080282,-3.56167505916565,0.00036849627971685,0.0419230598734407,down
TUBA4B,81.084606801068,-4.48528458747303,0.96429452036296,-4.65136376154535,3.29747086697316e-06,0.0032929521105999,down
TXLNB,105.308171781741,-2.12041443071486,0.6046066809043,-3.50709725460426,0.000453023544266107,0.0467522679749559,down
UMODL1.AS1,26.6592952389525,-3.7958251019193,1.0278077464312,-3.69312754753924,0.000221512849475708,0.0335618051118701,down
VWA3A,231.605875189075,-3.55331864539921,0.941437069187951,-3.77435599435676,0.000160421542912962,0.028935599893011,down
WDR38,155.788925151846,-4.27147852788294,1.20982717272605,-3.53065183538423,0.000414537013829718,0.0450691996124625,down
WFDC6,8.6649340792424,-5.39957348936967,1.42696197961569,-3.78396451097028,0.000154349842110261,0.0285471111247195,down
WT1,62.2216236008321,-3.50430093846967,0.924658608662783,-3.78983216685507,0.000150749104323079,0.0285471111247195,down
