,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,1480.85762340248,0.431437345941802,0.318517856431602,1.35451541328092,0.175571999370973,0.66905713827064
ENSG00000000419,1099.40895184379,-0.162144097887341,0.16818074768382,-0.964106178146929,0.33499269557216,0.798239200378179
ENSG00000000457,574.420777498923,0.176544854713648,0.220839784728757,0.799425044407131,0.424043993328696,0.845735497604973
ENSG00000000460,300.197914435314,0.197990677760758,0.314810541830937,0.628920100989138,0.529401365647899,0.890872389662958
ENSG00000000938,1285.10413482777,-0.72937725771001,0.51065596300817,-1.42831438492052,0.153201389248544,0.642450008678369
ENSG00000000971,4203.94615303331,0.120870498645091,0.429004427373888,0.281746506405513,0.778137891453419,0.961925649921504
ENSG00000001036,2299.25576133797,-0.12534720711358,0.187884551323319,-0.667150152743946,0.504676227556879,0.88146766342954
ENSG00000001084,4269.91269655148,0.203559493345506,0.730619748684491,0.278612087494245,0.780542535417126,0.961925649921504
ENSG00000001167,1345.55764507185,0.392068967695167,0.220963806675455,1.77435831502951,0.0760039003340109,0.510310463209583
ENSG00000001460,358.46155233272,0.521821547759426,0.304892435842943,1.71149391199796,0.086989974087686,0.535621849626635
ENSG00000001461,1166.18957420851,0.429765324107988,0.231804113765844,1.85400214485458,0.0637388531386011,0.480590239702489
ENSG00000001497,1359.65876867171,-0.178158349377448,0.207116113990781,-0.860185844281425,0.389686606540214,0.829656749083292
ENSG00000001561,1039.09642158961,0.0880885371823048,0.410470820256267,0.214603652282296,0.8300763461709,0.969832614387932
ENSG00000001617,1816.64599916732,-0.0418615529672785,0.346992492898852,-0.120641091158941,0.903975320483667,0.982012565940615
ENSG00000001626,353.116842706783,-0.381730476238559,0.784553081536671,-0.486557869979785,0.626571685647903,0.922685345621031
ENSG00000001629,1731.19979780428,0.112777156460439,0.158768518638867,0.71032442342654,0.477502977711797,0.872383347590745
ENSG00000001630,2402.98327435735,0.0351855294712526,0.425192901543253,0.0827519211716505,0.934048799285493,0.986197718338708
ENSG00000001631,1229.00955952203,0.0279811124618974,0.129688889791865,0.215755663471279,0.829178209720568,0.969815319207765
ENSG00000002016,317.586344592553,-0.182848395035323,0.253968270208462,-0.719965509412799,0.471546231763667,0.868938015790306
ENSG00000002079,17.0113985859621,0.695798894861976,0.82925459650941,0.839065466493415,0.401432573532419,0.834656576199462
ENSG00000002330,1407.47892189374,0.044560732044363,0.158425044430838,0.281273281029859,0.778500802039629,0.961925649921504
ENSG00000002549,3350.33453437249,-0.765441941524255,0.268927132803047,-2.8462800816935,0.00442332705878098,0.153359161554272
ENSG00000002586,6763.76506423397,0.188656079954012,0.301390379444557,0.625952561265202,0.531346057402938,0.891826151133569
ENSG00000002587,859.538073023959,0.678099974942147,0.551106418921045,1.23043381760955,0.218534696147556,0.71302325732435
ENSG00000002726,484.584740861155,-1.50127479133372,0.879616274735206,-1.70673830675274,0.0878707037916409,0.538332349541489
ENSG00000002745,7.14571250949023,-0.635434469673182,0.608508794662326,-1.04424862096824,0.29637037718224,0.774413039512019
ENSG00000002746,91.9073795932496,-0.227017107419435,0.909984519186783,-0.249473592828053,0.802994465143091,0.966076514085879
ENSG00000002822,1060.95601427182,0.291715708590309,0.233519118600362,1.24921552607238,0.211586254743676,0.708035891896175
ENSG00000002834,8854.68065196632,0.242619967834992,0.204275923092274,1.18770711771743,0.234948818585075,0.727734060368682
ENSG00000002919,686.627587556249,-0.0561378014440051,0.156982898499699,-0.357604566997548,0.720639260072998,0.948147215595354
ENSG00000002933,1856.56642527774,-0.348246773915245,0.404904541805283,-0.860071295724598,0.38974974290319,0.829656749083292
ENSG00000003056,4307.89975677287,-0.00607859267105703,0.231664788758165,-0.026238742208694,0.979066914696783,0.994957318673034
ENSG00000003096,266.996967640644,0.251479127439618,0.67775522613256,0.371047124010566,0.710602433081757,0.946497213994461
ENSG00000003137,190.870533489444,0.577374568946086,0.573812647058894,1.00620746493729,0.314315781992712,0.785103010102966
ENSG00000003147,1081.20265213127,-0.724340419199346,0.473651991446512,-1.52926712497765,0.126198235968781,0.602585073510803
ENSG00000003249,500.033300614434,0.592039457236412,0.423344643433924,1.3984810400201,0.161968662331702,0.652204456757717
ENSG00000003393,1083.22174664265,0.00917968733539114,0.176393986391548,0.0520408179619835,0.958496169430508,0.990376526530311
ENSG00000003400,949.769763533078,-0.589028047867953,0.306414279142511,-1.9223257137896,0.0545647864166327,0.453419664691356
ENSG00000003402,7562.27609552456,-0.491214025596269,0.28784795469614,-1.70650517949592,0.0879140627891082,0.538332349541489
ENSG00000003436,3122.74820446653,-0.0991395191644448,0.479018941883995,-0.206963671988682,0.836038229768736,0.971079408137004
ENSG00000003509,447.095739311809,-0.032513928121975,0.132871723254091,-0.244701636478355,0.806687460833223,0.966134891144168
ENSG00000003756,4120.18696320136,-0.0293060779066271,0.212306815994482,-0.138036443951892,0.890211615120634,0.981211377197748
ENSG00000003987,72.2251551359994,0.174621243549992,0.390880408682523,0.446738285345535,0.655064035405,0.929931488090899
ENSG00000003989,1091.30650016972,-0.251190610728766,0.609960993621857,-0.411814219852378,0.680475597965996,0.938634878306015
ENSG00000004059,3293.01951209395,-0.0120026693919773,0.208718901050101,-0.0575063845755693,0.9541418203712,0.989430900166968
ENSG00000004139,598.276949680089,-0.17110694609455,0.321133166066041,-0.532822405703686,0.594156522366817,0.91392767458978
ENSG00000004142,2750.87237478714,-0.305788747396266,0.232154583419148,-1.31717730011031,0.187779200976433,0.682346606068222
