,log2FoldChange,logCPM,LR,PValue,padj,regulated
AATK,1.94790907836892,5.13497981985271,14.2248002539195,0.000162218463653,0.032078981012779,up
ADORA1,2.05413822538333,2.78297918593056,12.9450341210203,0.000320771251828,0.044295133337903,up
ANKRD36C,2.47045504619099,4.85140229846112,21.8900565639137,2.88726131114992E-06,0.003607289286697,up
ANO8,1.22045651881277,5.28921278430144,19.3524343822863,1.08680607828988E-05,0.008147008878883,up
APOBEC2,2.70580704755533,-0.704244122529838,18.6030835777404,1.60959984140745E-05,0.009416064381099,up
ARHGAP20,2.08672433361327,2.7295090179489,14.7606523491783,0.00012205600856,0.028767414015047,up
ARHGAP40,3.08885502600678,3.6701870327142,23.3878382299224,1.32413046527479E-06,0.001930067278745,up
ATP11A,1.90355002083584,7.86091683299077,16.9045159276224,3.93079546495105E-05,0.015866504709834,up
BARX1,4.63658053504528,3.35718658288546,13.4642449960392,0.000243152990191,0.038664272749298,up
BEAN1,1.95636700041109,2.83339612940407,13.097431945941,0.000295700866421,0.041963944064138,up
BIVM.ERCC5,6.93738795465898,-2.34938376295288,31.1175680739243,2.42863349451122E-08,0.000106200094992,up
BNIP3P2,5.1480579526016,-3.40066287422963,15.0651344868966,0.000103864090901,0.026981011415499,up
C8B,2.86366584745116,0.318869915452465,14.6074843953621,0.00013238771131,0.029436071030902,up
CDH12P2,6.29746805545683,-2.63733790598627,18.423520218063,1.76861418675694E-05,0.010087637047379,up
CDH24,1.69883697591754,4.59193053011646,12.691344612763,0.000367352017292,0.049008919167935,up
CEACAM8,3.13449066345668,-1.72430847353851,13.2053934862159,0.000279144630385,0.041613168564818,up
CEMP1,6.37328528166965,-2.6564050716898,16.1454942049841,5.86579452380422E-05,0.018632512278993,up
CHIAP2,4.28974253141856,0.452615217808411,13.3661326294442,0.000256209134731,0.040012851594885,up
CHML,1.58235695508256,5.17748813847402,12.6191984881368,0.000381805008811,0.049591178297926,up
CPA6,2.47546861626522,-0.536809613048861,12.6350583040974,0.000378579404,0.049591178297926,up
CPB2.AS1,3.03770250284062,-0.422501447089994,13.4678062499382,0.000242691903017,0.038664272749298,up
ERFE,3.11445871384344,2.18571146609715,17.6583249024441,2.64355661079432E-05,0.0121682447013,up
FAXC,2.50348309056637,3.6659037144321,24.0998087645514,9.14693800854741E-07,0.001635400459919,up
FGF8,3.95239656397475,-2.6122729861498,14.5069770336472,0.000139641396351,0.030030912426649,up
FSD2,2.97115352654707,-1.93151067052509,17.6677189832609,2.63053226793796E-05,0.0121682447013,up
GJA1,1.99573111445182,7.37988116498802,21.6465833296014,3.27793367409069E-06,0.003851382308954,up
GNG4,5.3681349481392,3.36086816654741,31.2758178982544,2.23850635600561E-08,0.000106200094992,up
GRK1,3.57630965441607,-1.61617002586182,15.265782191864,9.33931053101456E-05,0.025793209516024,up
HAGLR,2.23899963090873,4.66252242145641,16.3879172592054,5.16131976402613E-05,0.018299668466048,up
HORMAD2,4.48948777939165,-3.47759614440477,14.7066717116506,0.000125601152051,0.029162261047587,up
HS6ST2,2.45596656764867,4.55129956757788,14.2024951139537,0.000164152704133,0.032140854465109,up
HTR3A,2.61851705112668,-0.035154519405044,13.1905441228832,0.000281365192901,0.041707223537557,up
