,COV1_S25,COV2_S26,COV3_S27,COV4_S28,COV5_S29,COV6_S30,COV7_S31,Neg11_S3,Neg12_S3,Neg13_S3,Neg15_S3,Neg16_S4,Neg18_S4,Neg19_S4,Neg21_S4,Neg22_S4,Neg9_S33,Neg10_S3,Neg14_S3,Neg17_S4,Neg20_S4,Neg23_S4,Neg8_S32
A1BG,14.46,22.34,13.26,12.99,25.41,48.63,78.38,31.97,20.42,12.63,16.11,15.3,21.06,36.38,25.43,47.59,22.17,12.26,10.01,16.89,18.42,30.13,19.86
A1BG.AS1,3.66,3.7,3.41,3.2,3.58,9.66,15.25,2.7,4.37,2.16,2.42,4.54,4.19,5.01,3.97,9,2.83,1.89,1.94,1.89,1.56,4.2,2.33
A1CF,0.06,0,0,0.16,0,0,0.01,0,2.04,0,0,0.02,0,0,1.87,0.01,0,0,0.01,0,0,0,0.03
A2M,119.35,464.76,828.87,165.8,178.32,124.42,85.45,63.23,501.62,76.49,1773.34,820.55,1039,563.74,434.36,151.46,232.75,128.6,197.32,52.97,42.99,494.1,351.54
A2M.AS1,1.29,2.63,6.36,1.56,1.61,0.84,0.49,0.61,3.92,1.13,6.94,3.83,4.62,5.11,3.03,1.46,2.08,1.46,1.43,0.85,0.66,3.87,1.73
A2ML1,0.17,0.04,0,0.12,1.97,49.92,0.1,0.13,0.14,0.22,0.04,0.22,0.65,0.06,0.26,1.7,0.43,3.75,0.02,2.81,0.38,0.06,0
A2MP1,0.05,0.08,0.11,0.03,0.04,0,0.01,0.08,0.13,0.01,0.42,0.42,0.04,0.17,0.22,0.12,0.08,0.09,0.13,0.12,0,0.38,0.06
A3GALT2,0.23,0.1,0.75,0.08,0.05,0.05,0.05,0,0.1,0.11,0.14,0.14,0.15,0.2,0.14,0.19,0,0,0.19,0.05,0,0.04,0
A4GALT,11.44,27.87,14.54,23.49,55.79,258.4,28.35,67.43,14.88,21.48,27.73,51.61,36.22,12.13,23.41,19.35,14.66,22.68,12.35,169.2,192.08,15.79,29.94
A4GNT,0.09,0.11,0.25,0.08,0,0.05,0.25,0,1.98,0,0.05,0.17,0.05,0.03,8.22,0.25,0.26,0.02,0.04,0.05,0.02,0.09,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,39.86,31.53,40.45,30.59,39.32,40.14,59.93,38.82,29.17,38.07,29.06,39.67,36.25,22.97,30.63,41.01,22.58,33.67,35.47,30.29,24.17,34.41,19.66
AACS,9.41,6.31,12.19,16.28,12.66,15.08,40.62,15.92,9.49,9.5,5.68,12.41,9.18,6.07,8.69,59.33,10.16,16.4,15.56,14.91,11.57,7.42,7.65
AACSP1,0.06,0.08,0.07,0.06,0.07,0,0,0.02,0.02,0.01,0.12,0.08,0.19,0.11,0.03,0.05,0.04,0,0.02,0,0,0.08,0.05
AADAC,0.14,1.14,0.53,2.08,0.98,2.19,0,0.7,11.78,0.14,2.22,10.29,1.3,0.29,9.08,0.83,0.7,0.7,9.52,2.3,123.2,3.04,0.56
AADACL2,0,0.02,0,0,0,0.37,0,0,0.01,0,0,0,0.02,0.01,0,0,0,0.02,0.01,0.03,0.23,0,0
AADACL3,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0
AADACL4,0.03,0,0.02,0,0,0,0,0,0,0,0.02,0,0.02,0.03,0,0.04,0.02,0,0.04,0,0,0.06,0
AADACP1,0.61,0.12,0.38,0.09,0.34,4.65,0.04,0.5,0.39,0.06,0.94,3.49,1.14,0.81,14.49,0,0.22,1.25,0.57,5.88,9.64,0,0.17
AADAT,4.62,4.78,5.75,4.99,3.28,3.85,5.2,1.44,1.73,1.17,3.31,4.69,4.16,1.9,1.77,14.51,3.3,0.41,3.84,4.56,0.4,2.58,2.99
AAGAB,23.21,19.2,18.55,27.1,21.33,36.55,48.65,16.99,24.21,26.38,10.99,20.51,16.87,11.62,24.65,29.45,14.52,24.46,14.47,22.08,15.84,17.79,13.43
AAK1,5.71,9.78,14.57,6.46,10.75,24.3,22.04,6.77,9.95,8.9,10.57,11.62,13.54,10.9,13.89,7.85,11,14.07,6.77,15.27,16.74,13.18,11.96
AAMDC,18.91,33.67,36.71,19.92,29.46,29.21,49.48,26.03,29.97,35.97,65.71,28.16,50.69,21.14,24.44,49.55,26.49,30.42,33.21,26.15,8.63,24.15,18.97
AAMP,108.18,67.8,77.1,104.8,134.73,146.2,151.59,78.11,89.21,98.51,91.46,102.1,79.99,57.22,85.08,88.05,65.12,101.79,86.29,67.95,94.5,61.89,92.08
AANAT,0.19,0.16,0.12,0.02,0.07,0.27,0.1,0,0.35,0.36,0.07,0.36,0.16,0.14,0.06,0.07,0.14,0.05,0.1,0.05,0.11,0.24,0.4
AAR2,29.85,18.54,16.4,20.91,15.89,22.99,21.91,7.36,17.78,13.71,16.28,18.91,18.18,11.47,16.26,48.72,10.68,20.1,17.8,13.44,40.41,15.17,10
AARD,0.37,2.1,2.75,3.82,0.04,0.65,0.24,0,0.9,0,1.13,1,2.33,0.95,0.27,0.37,0.47,0.18,4.71,0.08,0.05,0.78,0.19
AARS1,52.66,32.04,37.55,46.9,44.06,75.24,61.05,72.18,37.2,60.85,38.56,43.04,35.05,26.13,34.34,56.3,67.67,78.79,38.7,76.19,76.59,33.28,53.68
AARS1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS2,14.11,7.58,6.11,5.88,6.02,11.46,11.99,17.86,6.2,9.17,5.72,7.82,7.27,5.08,4.54,15.58,5.24,4.04,7.1,9.99,8.34,5.62,3.12
AARSD1,58.82,41.84,36.01,34.36,42.63,48.16,63.99,95.32,37.06,53.74,39.35,41.39,48.71,28.99,31.13,61.42,32.69,40.91,36.25,47.15,28.82,36.14,33.04
AARSD1P1,1.18,0,0.76,0.8,0.61,0.25,0.58,0.81,0.33,0.14,0.22,0.59,0.55,0.18,0.1,0.64,0.17,0.06,0.09,0.07,0.06,0.2,0.28
AASDH,5.74,3.42,5.19,4.39,5.13,6.08,6.65,3.19,3.44,2.15,3.76,4.49,3.72,3.91,3.18,5.56,3.14,4.77,4.53,5.1,2.16,4.04,3.13
AASDHPPT,21.5,13.83,14.95,15.82,13.28,30.08,40.07,13.78,12,14.5,15.08,21.47,14.15,9.37,11.08,12.76,10.44,8.6,18.7,11.46,7.08,10.81,8.91
AASS,6.99,10.84,8.44,13.08,11.54,22.79,3.48,5.42,18.15,4.36,17.37,73.41,14.82,8.1,6.97,5.76,6.65,6.13,5.76,9.99,5.13,24.55,5.63
AATBC,5.21,2.75,10.22,2.06,1.45,1.47,0.58,0.91,2.17,0.87,0.7,1.94,1.96,0.49,1.36,2.18,0.62,0.95,1.8,1.47,0.43,1.02,0.72
AATF,33.39,28.46,26.36,31.31,38.6,58.8,25.94,38.15,37.69,55.91,31.44,31.54,27.43,24.29,27.62,54.88,41.82,32.96,33.45,45.4,22.88,23.9,27.7
AATK,3.9,16.9,27.28,17.3,3.23,3.96,44.49,1.51,3.94,1.15,21.39,7.15,7.87,1.87,6.71,1.16,3.11,6.74,4.5,2.23,1.82,8.05,2.88
ABALON,0.66,1.03,0.46,1.08,0.97,0.11,1.74,0.13,1.05,0.81,1.55,0.7,0.76,0.39,0.91,1.23,0.37,0.79,0.25,0.35,0.18,0.06,0.53
ABAT,9.2,4.86,5,5.2,6.53,1.97,113.28,2.24,5.39,1.18,4.25,5.38,4.65,6.56,5.01,8.77,1.38,2.66,3.04,1.37,0.61,4.91,5.37
ABCA1,2.36,7.43,8.79,8.58,15.32,7.59,3.51,5.15,6.83,4.75,6.22,14.13,5.87,5.11,7.53,5.27,5.48,2.33,3.09,8.66,3.72,22.42,5.93
ABCA10,0.38,2.23,2.66,0.99,0.39,0.8,4.17,0.51,1.43,0.31,4.62,2.93,2.8,3.08,3.51,1.59,1.34,1.02,1.16,1.49,0.25,2.16,1.4
ABCA11P,2.78,3.55,2.98,1.88,3.51,1.16,20.62,2.64,2.14,3.07,3.45,2.53,2.19,1.98,2.38,9.36,1.09,2.11,2.23,2.01,0.4,1.77,0.91
ABCA12,1.71,1.76,1.1,2.31,1.35,5.41,1.53,1.31,0.6,2.48,0.03,1.15,0.17,0.15,0.32,23.59,0.57,1.34,0.69,1.2,3.56,0.03,1.06
ABCA13,1.37,4.35,2.86,0.76,4.7,6.6,0.13,0.07,0.74,1.16,0.89,4.76,8.48,8.13,2.2,0,0.32,2.04,1.99,19.5,7.5,0.42,2.74
ABCA17P,1.68,0.63,0.71,0.24,0.48,1.17,2.96,0.19,0.43,0.02,0.59,0.75,1.05,2,0.18,0.52,0.33,0.19,1.4,1.25,0.02,0.52,0.04
ABCA2,17.61,33.66,39.39,29.07,25.53,24.42,153.53,17.27,22.1,19.01,18.37,27.16,23.47,23.36,28.98,43.91,15.96,18.24,19.75,34.9,7.32,22.92,12.01
ABCA3,11.89,60.84,154.24,107.25,3.7,25.32,63.47,1.18,50.12,8.64,53.84,146.12,90.08,3.79,31.58,6.64,56.14,10.65,30.57,6.41,4.34,173.6,5.64
ABCA4,32.38,1.27,1.9,1.06,2.62,0.6,0.47,0.33,0.31,12.06,0.54,18.94,2.03,0.57,0.41,0.34,6.35,0.3,0.3,1.96,0.35,0.64,0.41
ABCA5,9.27,7.43,9.29,5.4,8.95,13.39,60.74,8.82,7.38,5.78,8.73,9.63,15.1,10.71,11.54,10.19,4.86,5.83,7.93,16.07,5.36,7.09,7.07
ABCA6,1.6,6.78,5.73,1.24,2.82,1.59,1.23,0.63,2.52,0.95,17.67,8.34,8.5,7.02,10.59,1.27,4.45,2.4,1.24,1.12,1,3.92,2.85
ABCA7,97.86,36.76,40.79,29.15,25.56,14.16,77.21,52.59,17.73,39.67,19.66,34.89,36.33,27.53,33.8,36.42,18.78,70.2,18.71,16.66,11.75,29.72,40.35
ABCA8,1.41,11.09,10.87,3.86,0.95,1.19,5.06,4.41,3.14,0.27,35.09,9.56,16.82,8.42,3.71,1.56,2.02,1.86,2.82,0.15,0.14,4.99,1.94
ABCA9,0.63,1.66,1.43,0.46,0.69,0.64,1.35,0.22,1.06,0.29,5.79,2.09,2.69,1.7,1.71,0.59,1.05,0.8,0.57,0.44,0.4,1.04,1.04
ABCA9.AS1,0,0,0,0.09,0,2.93,0,0.46,0.11,0,0.06,0,0.12,0.41,0,1.03,0.1,0.11,0,3.67,3.27,0.14,0.09
ABCB1,0.76,4.02,4.41,1.35,1.32,1.72,1.26,0.3,3.07,1.98,2.63,1.88,4.07,4.14,3.7,0.76,2.6,1.23,2.86,0.86,1.86,1.81,5.25
ABCB10,13.05,8.17,6.26,11.26,5.73,8.89,9.65,3.15,9.5,5.01,6.57,10,8.4,5.48,7.07,11.92,5.12,7.82,9.05,12.17,8.31,6.03,4.28
ABCB10P3,0,0,0.02,0,0.02,0.06,0.02,0.03,0.04,0,0,0,0.06,0,0,0,0,0,0,0,0,0.04,0
ABCB10P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.1,0,0,0,0,0.02,0,0
ABCB11,0.03,0.04,0.01,0.05,0,0,0.01,0.45,0.17,0,0.01,0.06,0.31,0.01,0.26,0.02,0.11,0.63,0.01,0.02,0.08,0.02,0.08
ABCB4,0.66,1.98,0.28,0.74,2.09,0.14,0.62,0.2,0.48,0.59,0.23,0.84,0.33,0.77,0.99,0.24,0.54,0.68,0.83,0.04,0.06,1.43,0.54
ABCB5,0,0.02,0.1,0.11,0,0.03,0,0.06,0.5,0.06,0.08,0.06,0.28,0.02,0.24,0.03,0.08,0.09,0.02,0,0.01,0.44,0
ABCB6,19.21,8.51,13.26,23.85,14.79,62.93,21.07,23.81,7.85,16.92,5.73,22.29,39.47,9.91,13.05,13.91,9.43,31.51,28.26,70.06,61.09,10.78,6.35
ABCB7,20.98,9.63,11.86,13.23,9.53,13.33,15.45,16.45,10.35,7.49,12.03,16.69,11.33,8.29,10.69,15.99,10.04,10.77,11.93,9.51,6.21,11.13,9.2
ABCB8,13.54,15.84,32.65,34.38,26.82,25.13,52.75,22.29,23.15,41.24,19.79,25.69,26.01,13.12,26.3,26.67,20.95,34.11,10.56,16.3,7.87,19.26,15.18
ABCB9,4.36,3.22,6.35,2.65,14.81,6.61,8.23,2.62,5.49,3.49,1.76,5.13,3.03,2.55,6.74,17.83,4.46,5.96,4.45,3.69,2.61,2.47,3.73
ABCC1,35.87,24.25,33,76.25,31.23,210.69,7.1,22.96,24.1,16.76,24.29,41.04,33.76,16.87,25.3,37.86,13.1,64.82,15.44,124.44,204.58,23.75,25.34
ABCC10,12.96,15.63,16.21,13.06,15.89,17.32,18.21,13.44,14.99,25.71,8.78,19.07,19.45,11.14,11.78,22.29,11.7,8.32,6.63,25.41,11.3,16,8.3
ABCC11,0.24,0.08,0.27,0.18,0.15,0.15,0.14,0.15,0.1,0.16,0.05,0.2,0.37,0.03,1.07,0.19,0.17,1.49,0.19,0.39,0.44,0.02,0.17
ABCC12,0.06,0.07,0,0.01,0,0.01,2.25,0,0,0,0.04,0.03,0,0,0.07,0.06,0,0.03,0.22,0,0,0.03,0.19
ABCC13,0.01,0.31,0.72,1.04,0.02,0.17,0,0.06,0.59,0.69,1.66,0.26,0.19,0.15,0.28,0,0.05,0.08,0.12,0,0.02,0.22,0
ABCC2,0.64,1.14,0.79,76.92,0.28,0.77,0.39,18.03,0.41,0.77,0.22,2.12,25.84,0.86,1.62,0.55,0.7,71.38,0.64,1,2.25,0.33,1.27
ABCC3,300.8,132.12,228.31,228.12,45.44,15.1,0.38,133.84,198.71,85.4,22.52,113.9,90.57,53.79,213.72,6.45,49.84,167.39,125.21,49.84,22.26,19.24,62.52
ABCC4,15.21,8.59,4.5,5.26,5.13,13.23,3.64,1.04,3.42,4.07,5.5,4.68,6.91,2.48,3.51,0.78,2.69,1.96,3.1,8.24,3.15,4.32,5.24
ABCC5,15.57,10.02,33.22,15.44,20.74,64.45,72.4,8.83,23.31,11.16,11.12,22.75,17.79,12.83,16.68,22.43,8.68,18.84,13.16,179.97,108.97,23.84,5.15
ABCC5.AS1,0,0,0,0,0,0.14,0.14,0,0,0.11,0,0.54,0,0.17,0,0,0.12,0.11,0.34,1.01,0.56,0,0
ABCC6,44.09,11.32,39.3,15.09,3.11,4.3,0.39,4.45,7.13,4.95,12.25,14.66,10.29,5.47,5.45,1.7,4.88,5.37,16.62,2.51,0.89,11.26,6.96
ABCC6P1,19.12,6.05,6.77,2.61,0.84,0.98,0,0.98,2.65,1.05,2.86,3.42,3.13,1.23,1.76,0.16,1.16,0.69,8.26,0.69,0.1,2.01,2.16
ABCC6P2,13.64,3.34,3.78,2.54,0.71,0.87,1.09,0.61,3.06,1.58,1.9,3.8,2.31,1.7,2.02,0.69,1.03,1.06,2.88,0.32,0,1.71,1.3
ABCC8,0.66,0.62,0.25,0.49,0,0.37,78.51,0.01,0.25,0.18,1.96,3.6,1.89,1.27,0.4,0.17,0.24,0.03,0.38,0.87,0.62,1.42,0.03
ABCC9,0.58,2.97,2.63,1.38,4.23,1.65,1.45,3,2.42,2.05,7.6,3.65,5.6,4.56,3.51,0.91,2.74,1.72,1.54,1.04,1.22,4.81,3.87
ABCD1,12.09,8.3,13.15,11.11,10.59,13.9,10.55,19.26,11.87,8.13,7.48,11.39,7.12,7.2,13.96,10.77,6.74,15.44,8.55,8,6.42,12.75,5.94
ABCD1P2,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0
ABCD2,0.06,0.54,0.18,0.06,0.16,0.15,0.05,0.01,0.18,0.63,0.1,0.35,0.32,0.64,0.38,0.12,0.51,0.33,0.21,0.14,0.18,0.67,0.32
ABCD3,44.93,15.19,32.4,26.87,10.28,19.8,14.32,9.67,20.8,10.62,15.87,25.86,17.44,10.89,21.02,23.58,9.63,15.5,26.1,10.53,6.89,19.2,9.85
ABCD4,140.28,33.94,44.49,40.28,43.11,21.3,63.41,42,43.15,31.76,46.63,53.72,37.37,34.24,52.76,65.99,33.22,28.53,51.38,22.32,24.38,40.27,28.61
ABCE1,30.1,18.49,21.93,29.6,24.26,55.03,29.02,21.76,19.02,28.69,15.99,23.61,18.18,15.15,20.56,28.53,19.95,31.73,23.09,26.33,13.44,21.93,19.59
ABCF1,48.45,31.06,28.8,29.18,36.49,58.63,36.74,50.78,27.6,50.53,29.42,33.98,29.52,20.52,21.2,66.66,24.74,18.12,22.61,48.33,21.98,25.95,38.1
ABCF2,11.94,9.75,10.57,13.32,12.01,27.3,18.87,8.35,9.44,26.54,8.07,9.07,11.06,6.16,9.01,16.72,8.07,16.33,9.52,13.51,15.34,11.51,16.94
ABCF2.H2BE1,7.3,8.86,8.1,10.46,8.41,18.02,14.93,7.44,7.43,12.13,7.65,8.88,7.65,6.59,7.36,11.71,7.75,9.75,7.81,7.97,10.1,5.77,6.56
ABCF2P1,0.03,0.03,0.09,0,0.03,0.07,0.21,0.02,0.1,0.04,0.05,0.05,0,0.04,0.02,0.07,0.04,0.08,0.06,0.02,0.06,0,0
ABCF2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF3,36.36,44,39.26,38.24,49.73,101.57,67.91,42.58,38.86,64.49,44.5,57.52,43.61,33.73,36.19,90.37,30.41,54.55,36.58,120.81,59.65,39.26,33.13
ABCG1,14.88,20.1,46.27,30.6,18.87,41.29,47.53,25.78,23.68,9.02,23.08,29.41,24.49,14.75,43.87,16.17,12.42,7.67,7.75,17.79,16.22,37.87,14.14
ABCG2,0.62,1.79,5.49,5.22,0.92,3.55,1.97,0.36,2.42,0.63,4.96,2.65,5.88,2.33,2.51,0.26,0.93,0.93,0.84,2.12,2.31,4.34,1.78
ABCG4,0.02,0.07,0.16,0.06,0.19,0.15,0.21,0.04,0.12,0.45,0.27,0.44,0.15,0.11,0.08,0.25,0.07,0.01,0.41,0,0.03,0.46,0.05
ABCG5,0,0.03,0.03,0,0,0.04,0.04,0,0.13,0,0.04,0.05,0.07,0.02,0.14,0.19,0,0.05,0.02,0.02,0.02,0,0
ABCG8,0.2,0.01,0.03,0.01,0,0.1,0.05,0,0.14,0,0.03,0,0.02,0,0.15,0.04,0.02,0,0.02,0.04,0.02,0.03,0.01
ABHD1,2.8,0.67,0.75,0.29,0.36,0.15,1.53,0.71,0.16,0.81,0.28,0.6,0.7,1.2,0.56,3.09,0.31,0.39,0.49,1.21,0.9,0.65,0.1
ABHD10,11.22,11.66,14.24,14.66,12.93,42.38,37.19,6.83,9.78,10.39,10.23,12.2,10.35,7.99,10.72,25.65,6.52,22.11,13.94,10.16,19.76,10.54,7.71
ABHD11,60.56,63.45,42.19,63.18,42.85,50.75,27.62,34.91,34.44,42.38,24.08,52.42,49.35,28.75,50.08,83.76,18.1,21.02,32.41,70.77,33.25,15.43,99.72
ABHD12,42.18,64.89,71.31,70.4,40.62,50.87,95.77,44.38,81.09,57.85,40.03,56.68,91.33,35.13,53.98,110.99,45.88,51.5,60.69,56.74,63.48,59.5,33.84
ABHD12B,0.13,0.18,0.42,0.19,0.52,0.22,0.16,0.28,0.46,0.12,0.75,1.31,5.33,2.17,0.35,0.08,0.13,0.36,0.47,0.08,22.95,0.13,0.78
ABHD13,8.96,6.98,10.87,4.9,6.14,5.94,12.08,6.88,5.3,4.29,4.7,5.81,5.95,4.33,5.64,8.44,3.66,4.37,4.82,3.58,2.08,6.28,5.24
ABHD14A,31.44,21.31,21.85,22.57,14.35,9.37,76.39,9.63,19.22,50.03,22.42,20.57,22.63,19.98,19.21,10.57,14.88,8.94,39.79,7.92,11.72,18.61,11.57
ABHD14A.ACY1,3.81,2.25,2.7,3.17,1.11,1.3,1.88,4.57,3.19,5.51,1.29,1.87,1.25,0.98,2.54,2.17,0.87,0.93,5.53,1.96,0.64,1.25,1.17
ABHD14B,50.06,32.3,32.19,45.03,41.12,13.1,47.58,18.01,47.27,87.71,50.9,40.99,38.11,33.55,39.62,20.48,27.54,34.35,69.46,15.61,28.12,40.89,22.78
ABHD15,4.61,10.35,11.29,11.37,8.1,9.26,23.59,3.81,10.76,7.03,6.01,8.88,6.66,6.27,10.38,7.51,7.98,12.13,8.2,6.88,4.88,11.07,4.31
ABHD16A,73.3,44.29,51.69,41.43,45.4,52.97,117.57,42.96,50.76,66.31,42.1,47.11,42.64,27.85,33.59,77.76,37.22,24.52,45.5,49.93,16.62,44.04,37.28
ABHD16B,3.77,2.12,0.6,1.72,1.31,0,1.14,1.39,0,0.9,0.36,1.75,1.38,1.06,1.3,0.62,1.07,0.14,3.51,0.8,0.32,1.35,0.33
ABHD17A,68.12,88.61,82.81,58.44,78.65,96.55,104.1,39.83,89.75,93.1,98.41,69.31,70.1,56.96,72.57,80.48,60.51,56.23,77.35,76.37,73.16,84.09,59.37
ABHD17B,5.51,8.06,8.89,7.56,7.58,17.36,8.56,10.83,5.95,4.55,5.99,6.87,6.67,5.47,6.54,12.7,3.56,4.48,6.87,13.1,6.74,5.8,6.83
ABHD17C,5.44,48.6,26.54,121.18,19.57,25.92,27.22,60.5,51.65,6.27,13.02,26.3,13.75,4.29,38.13,10.43,10.25,38.19,28.98,19.02,26.51,15.02,9.54
ABHD18,8.71,6.25,6.4,5.49,5.96,6.01,8.86,4.69,4.83,3.6,4.36,6.26,5.03,5.06,5.45,7.17,3.38,5.57,5.45,2.98,1.53,4.91,4.78
ABHD2,27.4,39.63,69.37,83.75,42.5,27.45,133.37,9.26,68.87,9.16,24.11,36.22,42.94,16.58,106.94,22.5,15.75,74.25,13.2,25.12,34.75,25.01,20.41
ABHD3,14.36,22.45,17.01,29.6,18.3,23.07,28.05,20.37,26.24,16.24,10.31,14.69,22.73,11.3,70.14,30.14,12.44,31.35,12.15,67.49,22.45,16.99,35.25
ABHD4,34.84,17.03,29.16,31.91,24.09,15.45,15.41,39.97,19.72,12.37,17.26,21.93,40.72,12.68,19.14,24.9,12.99,37.98,15.17,94.54,34.66,17.27,14.03
ABHD5,13.17,24.02,21.52,19.05,13.42,25.36,10.45,12.11,18.17,12.92,14.93,18.31,16.9,7.41,14.78,26.02,9.95,8.75,9.7,8.82,12.23,12.86,20.06
ABHD6,2.76,5.28,6.77,9.81,5.36,4.43,15.64,1.67,8.42,4.83,7.11,7.6,9.22,4.54,7.12,1.98,2.86,2.49,3.26,6.65,4.35,7.34,2.68
ABHD8,13.52,14.64,18.33,12.11,11.4,23.99,48.59,17.02,11.66,16.88,10.72,15.52,12.56,8.47,9.46,27.31,9.75,20.48,10.88,7.43,11.61,12.13,5.03
ABI1,21.18,28.82,27.32,26.43,28.15,28.26,15.62,22.92,33.14,14.33,26.58,27.85,25.77,21.8,23.88,23.04,20.03,29.08,23.84,30.02,12.96,23.12,28.78
ABI2,35.02,15.94,13.97,11.01,24.33,33.46,56.7,7.79,11.26,9.79,21.38,15.92,19.64,14.48,15.37,200.13,11.77,16,17.8,10.04,26.7,13.79,14.62
ABI3,5.73,15.43,30.5,17.22,10.03,6.36,2.71,2.43,25.85,24.04,23.39,23.35,22.68,17.45,19.86,7.29,21.62,12.33,14.05,7.85,7.76,29.26,9.15
ABI3BP,2.34,32.62,26.08,12.56,5.92,6.24,0.79,18.79,22.56,2.59,90.59,20.99,54.16,25.57,15.66,7.72,18.92,15.95,9.05,1.75,4.73,21.82,9.96
ABITRAM,14.39,14.36,15.43,15.75,16.59,20.57,18.91,9.47,11.53,20,9.58,15.56,15.85,8.44,13.3,27.09,7.86,6.4,15.01,18.31,14.1,8.67,6.71
ABL1,29.24,27.89,25.18,26.99,39.44,29.42,34.65,21.08,18.51,15.88,23.51,21.35,22.78,16.91,21.87,40.99,16.92,18.47,17.03,23.7,15.13,24.05,19.83
ABL2,4.91,5.91,5.46,6.09,23.25,10.98,6.55,5.97,5.06,2.37,4.46,6.81,4.55,6.84,4.79,5.54,5.57,3.42,3.56,5.87,3.66,6.39,19.68
ABLIM1,9.86,42.16,33.03,41.34,10.86,26.67,17.71,9.63,26.69,6.21,35.31,22.32,29.18,12.33,26.25,21.49,14.67,32.18,16.83,20.7,12.38,15.31,21.72
ABLIM2,1.5,3.14,4.8,1.14,0.98,2.06,82.44,11.19,2.79,1.85,4.37,2.53,4.25,2.32,7.98,4.33,1.08,0.69,2.33,0.81,0.8,3.77,5.3
ABLIM3,5.34,9.9,6.3,18.75,19.12,2.46,37.95,4.21,12.29,1.6,29.19,12.56,10.9,5.36,23.11,1.78,7.56,3.48,2.76,0.84,0.63,9.12,4.47
ABO,5.33,10.53,29.42,23.16,10.62,2.69,18.47,3.8,5.43,4.41,6.43,13.83,11.9,6.08,14.11,11.04,1.74,10.6,22.06,16.16,3.56,5.27,6.56
ABR,37.76,84.07,100.12,68.74,76.57,27.96,334.23,14.76,125.28,21.75,76.95,66.22,48.64,40.21,62.85,59.24,40.31,30.12,44.77,45.61,12.86,66.2,63.03
ABRA,0.02,0.07,0.1,0.04,0.09,0.05,0.03,0.02,0,0,0.08,0.05,0.02,0.03,0.03,0.06,0.01,0,0.01,0.02,0,0.01,0.12
ABRACL,60.7,53.48,58.39,68.05,52.93,140.25,4.52,39.88,66.04,49.17,27.42,105.88,35.58,26.67,53.12,207.45,57.44,44.45,25.01,160.2,65.29,45.47,32.5
ABRAXAS1,6.32,4.97,4.1,4.3,4.49,5.44,5.17,4.92,4.29,2.58,6.77,5.55,6.73,4.84,5.57,3.38,5.52,3.75,9.69,11.28,6.06,5.95,3.02
ABRAXAS2,6.48,7.93,7.96,7.5,6.42,11.18,9.6,5.84,8.05,4.5,6.56,6.51,6.99,4.44,8.51,8.46,5.56,8.23,6.29,5.15,6.96,5.82,4.42
ABT1,25.78,19.29,13.01,15.76,13.88,24.08,20.36,16.32,15.13,23.84,10.52,17.13,12.13,10.7,10.18,26.39,11.75,9.95,14.4,15.65,10.74,11.81,10.18
ABTB1,20.48,60.72,46.58,39.51,51.15,36.04,91.31,36.65,42.13,30.02,80.5,41.42,40.77,43.63,62.3,55.62,26.79,26.13,37.45,12.6,18.11,38.28,23.51
ABTB2,6.49,4.1,3.1,1.97,3.76,8.68,2.42,2.68,2.68,1.68,3.05,2.49,3.15,1.39,10.39,5.12,1.74,1.85,1.37,1.98,0.45,1.18,21.66
ACAA1,55.22,67.46,93.57,116.89,59.01,61.35,55.67,42.84,80.93,58,70.45,89.53,62.69,39.16,81.43,39.6,54.06,120.93,85.13,35.07,34.35,73.85,44.54
ACAA2,43.54,38.91,54.92,47.89,40.07,16.63,39.06,20.84,51.46,21.07,43.53,36.65,32.61,16.21,39.4,90.3,24.5,25.01,49.37,11.75,7.45,37.69,18.98
ACACA,24.86,12.8,30.98,26.31,9.88,38.36,26.89,17.5,14.39,28.62,10.17,19.58,18.99,9.34,16.14,25.94,10.89,23.74,15.9,29.11,13.18,16.03,10.59
ACACB,4.37,6.36,8.79,5.71,4.47,4.37,7.52,8.71,5.24,1.31,23.17,8.51,12.23,6.79,6.01,22.75,2.05,1.79,2.91,5.6,4.21,6.33,3.43
ACAD10,16.56,10.46,13.17,15.75,11.19,12.93,19.11,20.37,13.5,10.68,12.31,13.22,17.89,10.22,9.16,15.97,8.45,16.45,10.91,12.73,13.07,13.2,6.29
ACAD11,13.59,20.79,26.77,16.48,17.35,24.41,39.35,13.71,13.23,14.27,20.6,22.44,23.15,19.14,16.79,36.98,10.44,13.43,12.47,17.02,14.2,18.68,12.84
ACAD8,38.51,62.64,59.54,24.72,17.88,7.29,37.06,19.64,22.03,27.02,22.21,44.19,22.62,16.44,20.34,36.28,15.07,21.56,31.23,12.77,9.8,22.07,19.93
ACAD9,28.33,22.68,22.14,21.23,21.53,47.52,32.8,17.29,18.21,25.45,22.78,27.66,22.44,17.42,17.05,81.2,15.11,25.47,20.18,43.97,21.44,17.67,7.56
