,COV1_S25,COV2_S26,COV3_S27,COV4_S28,COV5_S29,COV6_S30,COV7_S31,Neg11_S3,Neg12_S3,Neg13_S3,Neg15_S3,Neg16_S4,Neg18_S4,Neg19_S4,Neg21_S4,Neg22_S4,Neg9_S33,Neg10_S3,Neg14_S3,Neg17_S4,Neg20_S4,Neg23_S4,Neg8_S32
STARD3NL,84.06,35.94,28.15,27.92,31.22,22.64,66.33,19.23,27.5,26.96,29.97,22.1,29.64,19.86,20.62,17.97,22.85,35.17,26.34,8.44,16.2,28.66,29.9
STARD4,5.46,7.15,12.07,12.76,12.7,17.96,3.1,4.41,12.13,15.34,10.38,5.54,7.42,4.65,7.34,38.48,6.4,4.5,6.86,16.72,7.41,6.68,11.84
STARD4.AS1,3.58,3.01,5.31,1.99,7.88,2.03,0.67,0.71,1.58,1.59,1.38,2.17,0.92,0.94,2.06,54.5,1.48,0.27,1.85,0.98,0.51,4.13,0.89
STARD5,7.23,5.84,5.5,3.3,8.36,6.3,5.08,7.85,8.77,5.78,5.76,5.33,4.63,15.59,9.59,5.47,12.99,3.54,4.78,11.76,7.17,12.74,9.4
STARD6,0.16,0,0.07,0.03,0.05,0.25,0.22,0,0,0,0.16,0,0.08,0.06,0.07,0.8,0.08,0.09,0,0,0.05,0.09,0
STARD7,59.34,46.32,53.19,54.79,28.74,121.51,63.3,20.77,40.79,43.86,42.53,39.81,52.45,29.29,44.81,69.07,34.94,45.44,40.83,74.66,88.42,39.17,38.94
STARD8,1.09,5.4,4.99,4.41,4.69,2.63,13.65,1.44,10.29,2.5,55.86,10.79,15.76,6.25,7.29,2.35,4.38,3.04,2.94,1.87,1.78,7.97,3.64
STARD9,1.05,6.75,4.84,2.13,3.53,1.77,1.35,0.75,2.5,0.79,11.69,3.4,3.85,3.71,3.67,3.41,1,1.02,1.73,0.65,0.65,2.25,3.03
STAT1,179.18,68.41,61.3,92.11,199.53,68.8,18.41,45.92,69.24,228.13,53.94,78.33,81.3,66.84,95.5,245.92,205.99,85.88,145.37,124.19,81.63,58.71,47.34
STAT2,51.48,102.15,63.17,48.17,128.42,56.09,43.75,69.23,47.88,60.39,41.7,76.39,48.63,40.14,54.11,99.7,53.84,46.04,54.09,51.37,29.7,58.25,45.47
STAT3,72.4,100.42,116.86,94.74,106.1,88.24,98.08,121.41,94.09,63.79,95.59,125.38,105.37,63.66,78.59,105.51,67.07,79.66,91.65,58.1,29.38,112.34,109.34
STAT4,4.14,9.97,7.71,3.71,4.1,2.22,0.47,1.26,2.95,8.2,6.15,8.01,7.67,7.95,5.37,2.19,5.67,7.35,5.1,2.21,2.03,9.34,9.81
STAT4.AS1,0,0.14,0.37,0.16,0.28,0.19,0,0,0,0.5,0.26,1.64,0.59,0.12,0,0,0.55,0.55,0.21,0,0.21,0.79,0.99
STAT5A,4.77,19.87,20.15,13.14,16.18,6,23.77,6.54,29.67,19.85,17.07,21.79,16.01,16.1,20.18,18.52,15.56,9.88,12.56,7.19,4.54,28.34,38.28
